Lesson Code,Lesson Name,Teacher Name,Lesson Date,Lesson Hours,Lesson Credit
AD102.01,INTRODUCTION TO MANAGEMENT,STAFF STAFF,📅 TTT,⏱️ 91011,3 Cr 5 ECTS
AD131.01,INTRO. TO LAW I,MEHMET ARTEMEL,📅 ThThTh,⏱️ 678,3 Cr 4 ECTS
AD131.02,INTRO. TO LAW I,MEHMET ARTEMEL,📅 FFF,⏱️ 678,3 Cr 4 ECTS
AD211.01,FINANCIAL ACCOUNTING FOR ECONOMISTS,FATİH F.YILMAZ,📅 MMM,⏱️ 123,3 Cr 4 ECTS
AD213.01,FINANCIAL ACCOUNTING,ALİ COŞKUN,📅 TTT,⏱️ 234,3 Cr 5 ECTS
AD213.02,FINANCIAL ACCOUNTING,ALİ COŞKUN,📅 WWW,⏱️ 234,3 Cr 5 ECTS
AD216.01,FINANCIAL & COST ACCOUNTING,UĞUR AKDOĞAN,📅 ThFFF,⏱️ 6678,4 Cr 6 ECTS
AD220.01,MANAGEMENT OF ORGANIZATIONS,ÖZGÜN BURCU RODOPMAN,📅 ThThTh,⏱️ 234,3 Cr 5 ECTS
AD251.02,MANAGERIAL STATISTICS I,NESRİN OKAY AKMAN,📅 MMM,⏱️ 345,3 Cr 5 ECTS
AD302.01,RESEARCH METHODS,BELGİN ARISAN,📅 ThThTh,⏱️ 234,3 Cr 6 ECTS
AD311.01,FINANCIAL MANAGEMENT (A-J),NESLİHAN N.YILMAZ,📅 TTT,⏱️ 234,3 Cr 6 ECTS
AD311.02,FINANCIAL MANAGEMENT (K-Z),ERDİNÇ AKYILDIRIM,📅 FFF,⏱️ 123,3 Cr 6 ECTS
AD351.01,OPERATIONS MANAGEMENT,YAVUZ ACAR,📅 WWW,⏱️ 234,3 Cr 5 ECTS
AD353.01,MANAGEMENT SCIENCE,UMMAN MAHİR YILDIRIM,📅 WWW,⏱️ 567,3 Cr 5 ECTS
AD401.01,GLOBALIZATION&INTERNATIONAL MANAGEMENT,ÖZLEM ÖZ,📅 TWW,⏱️ 545,3 Cr 6 ECTS
AD408.01,STRATEGIC MANAGEMENT,AHMET ESEN,📅 ThThTh,⏱️ 234,3 Cr 6 ECTS
AD409.01,BUSINESS ETHICS,ESER BORAK,📅 TTT,⏱️ 234,3 Cr 6 ECTS
AD410.01,ADVANCED MANAGERIAL ACCOUNTING,İREM NUHOĞLU,📅 TTT,⏱️ 678,3 Cr 6 ECTS
AD420.01,ENTREPRENEURIAL FINANCE: FIN.POL.FOR NEW,CENK CEVAT KARAHAN,📅 MMM,⏱️ 234,3 Cr 6 ECTS
AD424.01,HUMAN BEHAVIOR IN ORGANIZATIONS,HAYAT KABASAKAL,📅 MMM,⏱️ 234,3 Cr 6 ECTS
AD425.01,MANAGEMENT OF TECHNOLOGY,OSMAN YILMAZ,📅 FFF,⏱️ 789,3 Cr 6 ECTS
AD430.01,TURKISH BUSINESS ENVIRONMENT,İDİL TÜRKMENOĞLU,📅 WWW,⏱️ 91011,3 Cr 6 ECTS
