Username,Lesson Name,Teacher Name,Text,Point
elif,SOC101,Ali Tuna Kuyucu,elif SOC101 dersini Ali Tuna Kuyucu hocasından şiddetle önermiyor.,0
Zeynep837,SOC101,Ali Tuna Kuyucu,Zeynep837 SOC101 dersini Ali Tuna Kuyucu hocasından şiddetle önermiyor.,0
mrymsygili,SOC101,Ali Tuna Kuyucu,mrymsygili SOC101 dersini Ali Tuna Kuyucu hocasından şiddetle önermiyor.,0
cengin,SOC101,Ali Tuna Kuyucu,cengin SOC101 dersini Ali Tuna Kuyucu hocasından şiddetle önermiyor.,0
tylerdurden,SOC101,Ali Tuna Kuyucu,tylerdurden SOC101 dersini Ali Tuna Kuyucu hocasından şiddetle önermiyor.,0
Lagertha,SOC101,Ali Tuna Kuyucu,Lagertha SOC101 dersini Ali Tuna Kuyucu hocasından şiddetle önermiyor.,0
nickim,SOC101,Ali Tuna Kuyucu,nickim SOC101 dersini Ali Tuna Kuyucu hocasından şiddetle önermiyor.,0
Goat,SOC101,Ali Tuna Kuyucu,Goat SOC101 dersini Ali Tuna Kuyucu hocasından şiddetle önermiyor.,0
engincan,SOC101,Ali Tuna Kuyucu,engincan SOC101 dersini Ali Tuna Kuyucu hocasından şiddetle önermiyor.,0
_Karınca_,SOC101,Ali Tuna Kuyucu,"Eğer hiperaktif biriyseniz bu hoca size çok yardımcı olabilir ama konuşurken sürekli vurgu yapması dur kalk yapan bir arabadaymışçasına beni yoruyor. Derste sürekli özel hayatını anlatması ve arada kendi görüşlerini katması da beni çok sıkmıştı. Konu çok dağılabiliyor ve siz yüklediği videoları epey hızlandırıp izlemek zorunda kalıyorsunuz. Bir diğer sorun da Pazartesi günleri ders yapmamız gerektiği halde yapmayıp videoları çekip daha sonra siteye yüklemesiydi. Yükleme, sınav sonuçları ve dönüşleri de geçe bırakabiliyor.",0
Anonim,SOC101,Ali Tuna Kuyucu,Anonim SOC101 dersini Ali Tuna Kuyucu hocasından şiddetle önermiyor.,0
bir.kedisever,SOC101,Ali Tuna Kuyucu,bir.kedisever SOC101 dersini Ali Tuna Kuyucu hocasından şiddetle önermiyor.,0
eksiyazari,SOC101,Ali Tuna Kuyucu,"800 kişilik kitle dersi olunca notlandırma sıkıntı oluyor, zaten online sınav kopya çekmeyen bir benim gibi hissediyorum. son olarak 78ortalama bc alınmaz be",0
sude.oner,SOC101,Ali Tuna Kuyucu,sude.oner SOC101 dersini Ali Tuna Kuyucu hocasından şiddetle önermiyor.,0
polatalemdar,SOC101,Ali Tuna Kuyucu,polatalemdar SOC101 dersini Ali Tuna Kuyucu hocasından şiddetle önermiyor.,0
mematigandhi,SOC101,Ali Tuna Kuyucu,"aynı ders içerisinde kubrick, bergman, fellini ve billie holiday'den bahsedince önümdeki basketçi birey tarafından 'entel dantel eleman' diye nitelendirilen, dersinde not tutamadığım iki ayaklı ansiklopedi.",1
laundryroom11,SOC101,Ali Tuna Kuyucu,Severiz,1
ardy,SOC101,Ali Tuna Kuyucu,ardy SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
mitillid,SOC101,Ali Tuna Kuyucu,mitillid SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
